titulo,autor,ISBN_13,ISBN_10,ano,paginas,idioma,editora,rating,avaliacao,resenha,abandonos,relendo,querem_ler,lendo,leram,descricao,genero,male,female
Orçamento sem falhas,Nath Finanças,9786555601565,6555601566,2021,128,português,Intrínseca,0.0,0,0,0,0,1,0,0,"Quando o assunto é dinheiro, não dá para achar que um só discurso vai funcionar para todas as pessoas Afinal, o ponto de partida de cada uma não é o mesmo: o caminho de quem já nasce em uma família com boa situação financeira é muito diferente do de quem trabalha desde adolescente para ajudar em casaMas isso não quer dizer que quem passa aperto todo mês para pagar as contas não pode se organizar, aprender a poupar, investir e ter uma vida financeira saudável Muito pelo contrário Na verdade, bastam educação financeira e orientações para que o sonho  seja ele a casa própria, o carro, o intercâmbio, ou mesmo quitar uma dívida  esteja a um passo de virar realidadeFoi pensando nisso que Nathália Rodrigues, que ficou conhecida no Brasil inteiro como Nath Finanças, se tornou uma voz de destaque sobre a forma como usamos o dinheiro Com humor e um conteúdo acessível, a administradora e orientadora financeira virou um fenômeno na internet ao trazer dicas simples e valiosas que ajudam milhares de pessoas a saírem do vermelho e se organizarem financeiramenteEm Orçamento sem falhas, Nath aborda as principais questões que assolam o nosso bolso  nossa relação com cartão de crédito, taxa de juros, lista de compras, planejamento, metas, a diferença entre desejo e necessidade, entre outras , para ajudar de uma vez por todas quem se enrolou nas dívidas ou só vive para pagar boletoO livro ainda conta com um projeto gráfico moderno e colorido, repleto de ferramentas práticas para ajudar o leitor, como tabelas, listas e glossário Para completar, a autora ganha o reforço do ilustrador Ric Sales, que traz para as páginas do livro charges divertidas sobre nossa relação com o dinheiro no dia a dia","Economia, Finanças / Literatura Brasileira / Não-ficção ",28,72
Minha Sombria Vanessa,Kate Elizabeth Russell,9788551006276,8551006274,2020,432,português,Intrínseca,4.3,2,653,48,3,6,389,2,"Elogiado por Gillian Flynn e considerado um dos grandes livros de 2020, o romance de estreia de Russell explora as dinâmicas psicológicas de um relacionamento entre uma adolescente e seu professorEm 2000, Vanessa Wye é uma estudante solitária de ensino médio Talentosa e com o sonho de ser escritora, Vanessa diz não se importar de ficar sozinha, principalmente quando seu professor de inglês, Jacob Strane, um homem de 42 anos, começa a prestar atenção nela, elogiando seu cabelo, suas roupas e lhe emprestando alguns de seus livros favoritos ― como Lolita, de Nabokov Antes que Vanessa perceba, os dois embarcam em uma relação e a jovem acredita que o professor a ama e a considera especialMais de uma década depois, uma ex-aluna acusa Strane de abuso sexual, e Vanessa começa a questionar se o que viveu foi realmente uma história de amor ou se não teria sido ela também uma vítima de estupro Mesmo depois de tantos anos, Strane ainda é uma presença constante em sua vida Como ela seria capaz de rejeitar o que considera seu primeiro amor?Alternando entre presente e passado, o livro justapõe memória e trauma ao entusiasmo de uma adolescente descobrindo o poder do próprio corpo Instigante e impossível de largar, o livro retrata com maestria a adolescência conturbada e suas consequências, para refletir acerca de liberdade, consentimento e abuso Escrito com intimidade e intensidade assustadoras, Minha Sombria Vanessa capta brilhantemente os costumes culturais em transformação que guiam nossos relacionamentos e a própria sociedade",Drama / Ficção / Literatura Estrangeira / Suspense e Mistério ,7,93
Recursão,Blake Crouch,9788551005378,8551005375,2020,320,português,Intrínseca,4.4,2,618,22,2,6,295,2,"E se um dia memórias vívidas de coisas que nunca aconteceram se infiltrassem em sua mente, pintando em tons de cinza todas as suas certezas? É dessa premissa que Blake Crouch parte em Recursão, uma obra tão impactante que teve os direitos de adaptação audiovisual adquiridos pela Netflix, que produzirá um filme e uma série baseados no livro, ambos a cargo de Shonda RhimesBarry Sutton é policial em Nova York e convive com a tristeza da morte da filha Ao ser acionado para intervir em uma tentativa de suicídio, ele se depara com uma mulher que sofre da Síndrome da Falsa Memória, uma doença misteriosa que planta na cabeça de suas vítimas lembranças de vidas que elas nunca tiveramA neurocientista Helena Smith está desenvolvendo uma tecnologia para a cura do Alzheimer Inesperadamente, um dos homens mais ricos do mundo se oferece para financiar sua pesquisa Helena vê surgir a chance de propiciar um grande bem para a humanidade No entanto, não poderia estar mais enganadaA tecnologia que deveria salvar vidas acelera a marcha galopante do caos, gerando uma guerra pelo poder e criando recursos que começam a esfacelar a realidade O tempo não é mais como o conhecemos, e Barry e Helena terão de se unir se quiserem sobreviver  e salvar a todos nósUm dos nomes mais importantes da ficção científica contemporânea, Blake Crouch constrói uma jornada desnorteante, com personagens complexos, que nos fazem refletir sobre nossa identidade Uma trama intrincada, ágil e emocionante, que mostra que, quando nada é mais importante do que a memória, perdê-la significa perder a si mesmo",Ficção / Ficção científica / Literatura Estrangeira ,21,79
"M, o Filho do Século",Antonio Scurati,9788551006078,855100607X,2020,816,português,Intrínseca,4.6,60,12,1,0,951,49,55,"O romance M, o Filho do Século conta em trama eletrizante a história de Mussolini e sua ascensão de agitador político a líder do fascismo sob a perspectiva do ditador e de seus íntimos, durante o período de 1919 até 1925 Valendo-se de vasta base documental, Antonio Scurati traz uma narrativa totalmente calcada na realidade, porém elaborada com os recursos que fazem com que o leitor entre na mente dos grandes personagens da ascensão do fascismo, compreenda todo o clima da época e assista a tudo como se lá estivesseMuitas vezes irônico, ácido e  por que não?  irreverente, Scurati brinda o leitor com uma premiada obra-prima que em diversos momentos assume ares de roteiro de filme Mas nem por isso o autor atenua fatos ou banaliza atrocidades Ao aproximar o leitor de um dos maiores ditadores do século XX, mostrando também seus percalços, mazelas e habilidades, Scurati revela como a história é definida por pessoas em última análise comuns, com o consentimento  ou ignorância  de pessoas comuns","Biografia, Autobiografia, Memórias / História / Literatura Estrangeira / Política ",37,63
Oblivion Song: Entre Dois Mundos,Robert Kirkman,9788551006252,8551006258,2020,136,português,Intrínseca,4.1,166,16,0,0,376,6,184,"Mestre em traçar universos distópicos permeados por reflexões sobre família, morte e a natureza humana diante da crise, Robert Kirkman, criador de The Walking Dead, reúne em Oblivion Song vários dos elementos que o consagraram No segundo volume da série de quadrinhos que conquistou fãs e críticos, voltamos a acompanhar a saga do cientista Nathan Cole para reparar os erros do passado e começamos a entender o mistério que cerca o surgimento da nova dimensão aterrorizante com raros momentos de calmariaAnos atrás, 300 mil habitantes da Filadélfia foram repentinamente transportados para Oblivion O governo investiu muitos recursos em incursões para resgatar as vítimas, mas as buscas foram encerradas No entanto, algo motivou Nathan Cole a não desistir de procurar por sobreviventes Quando revelações impensáveis sobre seu passado vêm à tona, ele passa a ter suas ações questionadas pelo governo Há perguntas sobre Oblivion que só Nathan pode responder, e agora o futuro dos dois mundos está em suas mãosCom a arte vibrante de Lorenzo De Felici, Oblivion Song: Entre dois mundos reúne os fascículos 7 a 12 da série e entrelaça ação, suspense e ficção científica numa história sobre as renúncias e as escolhas necessárias para seguirmos em frente","Ficção / HQ, comics, mangá / Literatura Estrangeira ",44,56
"Não se humilha, não",Isabela Freitas,9788551006092,8551006096,2020,320,português,Intrínseca,4.3,903,191,14,5,3,169,1,"Muito antes de decidir desapegar, Isabela passou por poucas e boas De férias da faculdade de Direito e longe dos amigos Pedro e Amanda, às vezes ela se envolve com alguém para se distrair, mas nenhum ficante faz seu coração bater mais forte Dessa vez, é só um garoto do curso de inglêsA única coisa que Isabela e Fábio compartilham são os beijos, e ela sabe que a história deles não tem muito futuro A agitação da volta às aulas traz Gustavo Ferreira, que entra em sua vida de forma arrebatadora Lindo e de uma tradicional família de Juiz de Fora (MG), ele a convida a embarcar em sentimentos totalmente novosIsabela parecia ter encontrado o garoto dos sonhos até despertar para uma realidade bem diferente O que começa como conto de fadas logo muda de figura, e ninguém imagina que por trás das declarações de amor de Gustavo nas redes sociais há uma garota que a cada dia perde mais o brilho, que se vê obrigada a medir cada gesto e já nem se reconhece maisQuarto livro da série que já vendeu 1,5 milhão de exemplares no Brasil, Não se humilha, não se passa antes dos acontecimentos narrados em Não se apega, não e vai agradar tanto os fãs da autora quanto os novos leitores Com seu humor único e seu olhar otimista, Isabela Freitas traça os desafios de se amar diante de tudo que tenta nos aprisionar e explora temas importantes, como relacionamentos abusivos, protagonismo feminino, amor-próprio e amizade",Autoajuda / Literatura Brasileira / Não-ficção ,3,97
Os segredos que guardamos,Lara Prescott,9788551005675,8551005677,2020,368,português,Intrínseca,4.1,569,113,7,0,2,64,589,"Inspirado em uma missão real da CIA durante a Guerra Fria, Os segredos que guardamos mostra, de maneira romanceada, como a Agência de Inteligência americana apostou em Doutor Jivago, uma das obras-primas do século XX, para mostrar aos soviéticos o poder de mudança da literaturaO plano era simples: imprimir no exterior Doutor Jivago em russo e contrabandear exemplares da obra que teve sua publicação proibida na União Soviética por ir contra a ideologia do Estado Para tanto, a experiente e glamorosa espiã americana Sally Forrester deve treinar a novata Irina, uma simples datilógrafa da Agência, a fim de infiltrar o texto no país natal de seu autor, Boris Pasternak, vencedor do Prêmio Nobel com esta obra, porém obrigado por seu governo a rejeitá-loApesar de todo o potencial revolucionário, Doutor Jivago é também uma brilhante história de amor A inspiração por trás de Lara, a icônica heroína da trama, é Olga Ivinskaia, musa de Pasternak Os dois mantiveram um caso por décadas, uma relação intensa que sobreviveu à passagem do tempo, às ameaças de um regime autoritário e até aos anos de Olga em um gulagAssim, mulheres de ambos os lados da Cortina de Ferro protagonizam essa obra que mostra que, embora a história seja escrita pelos vencedores, é nos bastidores que o destino do mundo é forjado Amantes, espiãs, datilógrafas Fortes e corajosas, essas personagens ganham vida nessas páginas e são exemplos de que determinados segredos não devem ser guardados",História Geral / Literatura Estrangeira / Não-ficção ,9,91
Baby Shark!,Stevie Lewis,9788551005842,8551005847,2020,32,português,Intrínseca,4.3,5,2,0,0,163,1,8,"Com 4 bilhões de visualizações no YouTube e versões em dez idiomas, Baby Shark se tornou uma das canções infantis mais tocadas dos últimos tempos O hit sobre a família de tubarões chegou a ser cantado na liga norte-americana de beisebol e também por manifestantes em um protesto no Líbano, e sua coreografia faz sucesso com jogadores de futebol, grupos de k-pop, celebridades e, é claro, entre crianças do mundo todoAgora o fenômeno da internet ganha seu próprio livro: uma edição especial bilíngue (em inglês e português), em capa dura, com cartela de adesivos, totalmente colorida e belamente ilustrada por Stevie Lewis, que por anos trabalhou no estúdio de animação DreamWorksInspirada pelos versos da música, Lewis cria com seu traço único uma experiência lúdica, convidando crianças e adultos para uma visita a um aquário onde, além de se aventurar com o bebê tubarão e sua família, podem  e devem!  cantar e dançar juntosBaby Shark promete se tornar uma das maiores franquias globais para o público infantil Já foram lançados brinquedos, roupas, fantasias e espetáculos inspirados na história Há planos para um programa de TV e um longa-metragem",Ficção / Infantil / Literatura Estrangeira ,25,75
A Guerra Pela Uber,Mike Isaac,9788551006214,8551006215,2020,464,português,Intrínseca,4.1,17,4,0,0,378,2,15,"Em junho de 2017, Travis Kalanick, o agressivo CEO da Uber, foi deposto em uma reunião do seu próprio conselho diretor, em um golpe que levou a um ano brutal para a gigante do transporte A Uber estava no topo do mundo da tecnologia, mas para muitos a empresa era justamente o símbolo do que havia de mais podre no Vale do SilícioApoiada por bilhões em dólares de capital de risco e liderada por um fundador impetuoso e ambicioso, a empresa prometeu revolucionar a maneira como pessoas e mercadorias se deslocam Praticamente um unicórnio instantâneo, a Uber parecia estar ao lado de Amazon, Apple e Google como um titã da tecnologiaO que se seguiu se tornaria quase uma lição de moral sobre os perigos da cultura das start-ups e um exemplo vívido de como a adoração cega aos seus fundadores pode ser um grande equívoco O premiado jornalista do The New York Times Mike Isaac relata as batalhas da Uber com associações de taxistas, a cultura interna tóxica da empresa e as táticas para destruir qualquer obstáculo que estivesse impedindo o domínio do setor Com bilhões de dólares em jogo, Isaac mostra como os capitalistas de risco afirmaram seu poder e assumiram o controle da start-up, enquanto ela se esforçava para alcançar seu fatídico IPOCom base em centenas de entrevistas com funcionários atuais e antigos da companhia, além de documentos inéditos, A guerra pela Uber é uma história de ambição e mentiras, riqueza obscena e mau comportamento que explora como a inovação tecnológica e financeira culminou em um dos períodos mais catastróficos da história corporativa americana",Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo ,38,62
Cidade nas Trevas,Adam Christopher,9788551006290,8551006290,2020,384,português,Intrínseca,3.9,157,37,11,1,1,62,161,"A terceira temporada de Stranger Things causou grande comoção, e o último episódio deixou os fãs perplexos e ansiosos por respostas As pistas estão lançadas em Cidade nas trevas, segundo livro oficial da série, que explora o passado de um dos personagens mais queridos do público: o chefe de polícia Jim HopperEm Hawkins, durante o Natal de 1984, ele mal consegue conter a alegria É sua primeira comemoração familiar com Eleven, sua chance de aproveitar momentos de tranquilidade com a filha adotiva Mas a menina tem outros planos Contra a vontade de Hopper, ela vasculha uma caixa em que está escrito Nova York É aí que começam as perguntas Por que Hopper foi embora de Hawkins anos atrás? Por que nunca contou sobre Nova York? O que ele está escondendo?Embora prefira enfrentar uma horda de demogorgons a mergulhar em seu passado, Hopper sabe que não pode mais esconder a verdade Por isso, ele conta a Eleven os detalhes de um dos casos mais avassaladores de sua carreira, o último antes de tudo mudarEm 1977, após retornar da Guerra do Vietnã, ele se muda com a esposa e a filha para Nova York e passa a atuar na divisão de homicídios A cada dia, se depara com inúmeras tragédias, mas nenhuma se compara a uma série de assassinatos brutais e incompreensíveis Quando agentes federais assumem o caso, Hopper e sua irreverente parceira, Rosario Delgado, decidem agir por conta própria, e logo o detetive se vê infiltrado entre as perigosas gangues da cidade No momento em que está prestes a desvendar quem  ou o quê  está por trás dos assassinatos, um apagão lança a cidade nas trevas, e Hopper fica frente a frente com uma escuridão que mudará sua vida para sempre",Ficção / Jovem adulto / Literatura Estrangeira / Suspense e Mistério ,21,79
